#NAME,SampleType,Location,HostType
GIDd,Dictyota,Grand-Island,Algae
CDd,Dictyota,Cabo-De-Rama,Algae
DPa,Padina,Dona-Paula,Algae
GIPa,Padina,Grand-Island,Algae
PPa,Padina,Palolem,Algae
CPa,Padina,Cabo-De-Rama,Algae
DSp,Sargassum,Dona-Paula,Algae
GISp,Sargassum,Grand-Island,Algae
PSp,Sargassum,Palolem,Algae
CSp,Sargassum,Cabo-De-Rama,Algae
DSD,Sediment,Dona-Paula,Sediment
PSD,Sediment,Palolem,Sediment
GISD,Sediment,Grand-Island,Sediment
CSD,Sediment,Cabo-De-Rama,Sediment
DW,Water,Dona-Paula,Water
GIW,Water,Grand-Island,Water
PW,Water,Palolem,Water
CW,Water,Cabo-De-Rama,Water
